street,city,pincode,name,username,passwd,no_of_members
Bhaskar Colony,Rohtak,174414,Rajnagar District Co-operative Milk Producers Ltd.,Raj_2,Raj_2,102
Patel Nagar,Maradahalli,177363,Tilaknagar Co-operative Milk Producer's Union,Til_3,Til_3,114
Sahakar Nagar,Rajkot,232328,Anandnagar Co-operative Milk Producers' Ltd.,Ana_4,Ana_4,119
DLF Phase 1,Hooghly,251070,Sahas Co-operative Milk Marketing Federation,Sah_5,Sah_5,146
Model Town,Lucknow,214152,Yamunanagar Co-operative Milk Producer's Union,Yam_6,Yam_6,104
Sion Koliwada,Sahabana,426773,Bharatnagar Co-operative Milk Producer's Ltd.,Bha_7,Bha_7,140
Marathahalli,delhi,286065,Jabalpur Milk Producer's Union,Jab_8,Jab_8,113
DLF Phase 2,delhi,197238,Sambhalpur Co-operative Milk Marketing Federation,Sam_9,Sam_9,131
Lajpat Nagar,Surat,257290,Surat District Co-operative Milk Producers' Union Limited (Surat Milk),Sur_10,Sur_10,136
Wadala,Ahemdabad,470200, The Gujarat Co-operative Milk Marketing Federation (GCMMF), Th_11, Th_11,124
Koramangala,Ahemdabad,196625, The Kaira District Co-operative Milk Producers' Union Limited, Th_12, Th_12,101
DLF Phase 3,Agartala,332493, The Tripura Co-operative Milk Producers' Federation (TRIFED), Th_13, Th_13,115
Karol Bagh,Chennai,115645, The Tamil Nadu Co-operative Milk Producers' Federation Limited (AAVIN), Th_14, Th_14,126
Dadar,Jaipur,294005, The Rajasthan Co-operative Dairy Federation Limited (RCDF), Th_15, Th_15,140
Indiranagar,Bangalore,103556, The Karnataka Co-operative Milk Producers' Federation Limited (KCMPF), Th_16, Th_16,142
DLF Phase 4,Kanpur,207076, The Uttar Pradesh Co-operative Milk Producers' Federation Limited (UPCMFL), Th_17, Th_17,142
Connaught Place,Amravati,428656, The Andhra Pradesh Dairy Development Co-operative Federation Limited (APDDCF), Th_18, Th_18,139
Andheri,Patna,405534, The Bihar State Co-operative Milk Producers' Federation Limited (COMFED), Th_19, Th_19,124
BTM Layout,Rohtak,131730, The Haryana Dairy Development Co-operative Federation Limited (HDDCF), Th_20, Th_20,100
DLF Phase 5,Ludhiana,488664, The Punjab State Co-operative Milk Producers' Federation Limited (MILKFED), Th_21, Th_21,129
Hauz Khas,Roorkee,255966, The Uttarakhand Co-operative Milk Producers' Federation Limited (UCMFL), Th_22, Th_22,106
Bandra,Raipur,177182, The Chhattisgarh State Co-operative Dairy Federation Limited (CGCS), Th_23, Th_23,122
Whitefield,Bhopal,248512, The Madhya Pradesh Co-operative Dairy Federation Limited (MPCDF), Th_24, Th_24,137
DLF Phase 6,Bhubaneshwar,186668, The Odisha State Co-operative Milk Producers' Federation Limited (OMFED), Th_25, Th_25,105
South Extension,Kolkata,451025, The West Bengal Co-operative Milk Producers' Federation Limited (WBMFL), Th_26, Th_26,112
Colaba,dispur,253144, The Assam Co-operative Milk Producers' Federation Limited (ASCMFL), Th_27, Th_27,141
HSR Layout,Ranchi,433450, The Jharkhand State Co-operative Milk Producers' Federation Limited (JSCMFL), Th_28, Th_28,103
DLF Phase 7,Mumbai,127855, The Maharashtra Rajya Sahakari Dudh Mahasangh Maryadit (MSM), Th_29, Th_29,104
Greater Kailash,panaji,177379, The Goa State Co-operative Milk Producers' Federation Limited (GCM), Th_30, Th_30,130
Versova,Shimla,462254, The Himachal Pradesh State Co-operative Milk Producers' Federation Limited (HPMF), Th_31, Th_31,141
Jayanagar,Srinagar,239342, The Jammu and Kashmir State Co-operative Milk Producers' Federation Limited (JKSCMFL), Th_32, Th_32,114
DLF Phase 8,Imphal,357903, The Manipur State Co-operative Milk Producers' Federation Limited (MSCMFL), Th_33, Th_33,127
Vasant Kunj,Shillong,180038, The Meghalaya Co-operative Milk Producers' Federation Limited (MCMFL), Th_34, Th_34,119
Malad,Aizwal,456698, The Mizoram Co-operative Milk Producers' Federation Limited (MCM), Th_35, Th_35,149
JP Nagar,kohima,470962, The Nagaland Co-operative Milk Producers' Federation Limited (NCMFL), Th_36, Th_36,116
